product_image,source_section,nutrient_name_raw,nutrient_name_standard,amount_raw,amount,unit_raw,unit,serving_context,parsing_method,confidence,notes
product_09.png,vision_extraction,Chicory Root,chicory_root,500,500.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Ashwagandha Root Extract (2.5% Withanolides),ashwagandha_root_extract,200,200.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,"Rhodiola Root Extract (3% Rosavins, 2% Salidrosides)",rhodiola_root_extract,100,100.0,mg,mg,per_serving,vision_llm,high,
product_13.png,vision_extraction,Fischöl-Konzentrat,fish_oil,1000,1000.0,mg,mg,per_serving,vision_llm,high,
product_13.png,vision_extraction,davon EPA,epa,330,330.0,mg,mg,per_serving,vision_llm,high,
product_13.png,vision_extraction,davon DHA,dha,220,220.0,mg,mg,per_serving,vision_llm,high,
product_13.png,vision_extraction,Vitamin E,vitamin_e,5,5.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,Energy,calories,42,42.0,kJ,kJ,per_serving,vision_llm,high,Unexpected unit 'kJ' (expected 'cal')
product_11.png,vision_extraction,Energy,calories,10,10.0,kcal,kcal,per_serving,vision_llm,high,
product_11.png,vision_extraction,Total Fat,total_fat,1.1,1.1,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Of which Saturates,saturated_fat,0.1,0.1,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Of which Saturates,saturated_fat,0.1,0.1,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Of which Monounsaturates,monounsaturated_fat,0.1,0.1,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Of which Polyunsaturates,polyunsaturated_fat,0.9,0.9,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Cholesterol,cholesterol,5,5.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,Salt,salt,0.01,0.01,g,g,per_serving,vision_llm,high,
product_11.png,vision_extraction,Total Omega-3 Fatty Acids,omega_3_fatty_acids,900,900.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,EPA (Eicosapentaenoic Acid) (rTG form),epa,500,500.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,DHA (Docosahexaenoic Acid) (rTG form),dha,250,250.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,Other Omega-3s,other_omega_3,150,150.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,Vitamin E (as d-alpha tocopherol),vitamin_e,15,15.0,mg,mg,per_serving,vision_llm,high,
product_11.png,vision_extraction,Rosemary Extract (Rosmarinus officinalis),rosemary_extract,5,5.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Energy,calories,42,42.0,kJ,kJ,per_serving,vision_llm,high,Unexpected unit 'kJ' (expected 'cal')
product_12.png,vision_extraction,Energy,calories,10,10.0,kcal,kcal,per_serving,vision_llm,high,
product_12.png,vision_extraction,Total Fat,total_fat,1.1,1.1,g,g,per_serving,vision_llm,high,
product_12.png,vision_extraction,*Saturates,saturated_fat,0.1,0.1,g,g,per_serving,vision_llm,high,
product_12.png,vision_extraction,*Monoun-saturates,monounsaturated_fat,0.1,0.1,g,g,per_serving,vision_llm,high,
product_12.png,vision_extraction,*Polyunsaturates,polyunsaturated_fat,0.9,0.9,g,g,per_serving,vision_llm,high,
product_12.png,vision_extraction,EPA (rTG form):,epa,500,500.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,DHA (rTG form):,dha,250,250.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Total Omega-3 Fatty Acids,omega_3,900,900.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Other Omega-3s,other_omega_3,150,150.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Cholesterol,cholesterol,5,5.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Salt,salt,0.01,0.01,g,g,per_serving,vision_llm,high,
product_12.png,vision_extraction,Vitamin E,vitamin_e,15,15.0,mg,mg,per_serving,vision_llm,high,
product_12.png,vision_extraction,Rosemary Extract,rosemary_extract,5,5.0,mg,mg,per_serving,vision_llm,high,
